Date;AncientOne;Difficulty;Result;Player;Investigators
2024-12-29;Yog-Sothoth;Mittel;17;Volker;Rex Murphy, Preston Fairmont
2024-12-29;Yog-Sothoth;Mittel;17;Daniel;Ashcan Pete, Trish Scarborough

2025-01-05;Azathoth;Mittel;-5;Frowin;Norman Withers
2025-01-05;Azathoth;Mittel;-5;Volker;Jacqueline Fine, Trish Scarborough

2025-01-06;Shudde M'ell;Mittel;-3;Daniel;Minh Thi Phan
2025-01-06;Shudde M'ell;Mittel;-3;Nelson;Agatha Crane, Marie Lambeau
2025-01-06;Shudde M'ell;Mittel;-3;Sascha;Schwester Mary
2025-01-06;Shudde M'ell;Mittel;-3;Sven;Lily Chen

2025-01-06;Azathoth;Mittel;-9;Daniel;Tony Morgan
2025-01-06;Azathoth;Mittel;-9;Nelson;Agnes Baker
2025-01-06;Azathoth;Mittel;-9;Sascha;Norwin
2025-01-06;Azathoth;Mittel;-9;Sven;Zoey Samaras

2025-02-17;Hypnos;Mittel;0;Alex;Luke Robinson
2025-02-17;Hypnos;Mittel;0;Daniel;Carolyn Fern, Darrell Simmons
2025-02-17;Hypnos;Mittel;0;Nelson;Vincent Lee
2025-02-17;Hypnos;Mittel;0;Tom;Amanda Sharpe

2025-03-29;Atlach-Nacha;Mittel;8;Alex;Kate Winthrop
2025-03-29;Atlach-Nacha;Mittel;8;Daniel;Gloria Goldberg
2025-03-29;Atlach-Nacha;Mittel;8;Nelson;William Yorick
2025-03-29;Atlach-Nacha;Mittel;8;Sven;Amanda Sharpe

2025-04-22;Nyarlathotep;Mittel;Niederlage;Alex;Agatha Crane
2025-04-22;Nyarlathotep;Mittel;Niederlage;Daniel;Leo Anderson
2025-04-22;Nyarlathotep;Mittel;Niederlage;Nelson;Gloria Goldberg
2025-04-22;Nyarlathotep;Mittel;Niederlage;Sascha;Silas Marsh
2025-04-22;Nyarlathotep;Mittel;Niederlage;Volker;Zoey Samaras

2025-07-07;Hypnos;Mittel;Niederlage;Alex;Wendy Adams, Lily Chen
2025-07-07;Hypnos;Mittel;Niederlage;Daniel;Charlie Kane
2025-07-07;Hypnos;Mittel;Niederlage;Nelson;Harvey Walters
2025-07-07;Hypnos;Mittel;Niederlage;Volker;Ashcan Pete

2025-10-18;Die Vorsintflutlichen;Mittel;Niederlage;Volker;Carson Sinclair
2025-10-18;Die Vorsintflutlichen;Mittel;Niederlage;Alex;Akachi Onyele
2025-10-18;Die Vorsintflutlichen;Mittel;Niederlage;Daniel;Tommy Muldoon

2025-10-18;Atlach-Nacha;Mittel;5;Alex;Wendy Adams, Carolyn Fern
2025-10-18;Atlach-Nacha;Mittel;5;Daniel;Marie Lambeau, Jacqueline Fine
2025-10-18;Atlach-Nacha;Mittel;5;Volker;Daniela Reyes, Ursula Downs

2025-11-03;Shub-Niggurath;Mittel;-13;Alex;Calvin Wright
2025-11-03;Shub-Niggurath;Mittel;-13;Daniel;Agnes Baker
2025-11-03;Shub-Niggurath;Mittel;-13;Nelson;Mandy Thompson
2025-11-03;Shub-Niggurath;Mittel;-13;Sascha;Finn Edwards
2025-11-03;Shub-Niggurath;Mittel;-13;Sven;Ursula Downs
2025-11-03;Shub-Niggurath;Mittel;-13;Tom;Tony Morgan

2025-11-15;Hastur;Mittel;Niederlage;Alex;Leo Anderson
2025-11-15;Hastur;Mittel;Niederlage;Daniel;Tommy Muldoon, Ashcan Pete, "Skids" O'Toole, Monterey Jack, Rex Murphy
2025-11-15;Hastur;Mittel;Niederlage;Nelson;Jenny Barnes, Mark Harrigan

2025-12-01;Shudde M'ell;Mittel;6;Alex;Lola Hayes
2025-12-01;Shudde M'ell;Mittel;6;Daniel;Rita Young
2025-12-01;Shudde M'ell;Mittel;6;Nelson;Trish Scarborough, Wendy Adams
2025-12-01;Shudde M'ell;Mittel;6;Sascha;Hank Samson
2025-12-01;Shudde M'ell;Mittel;6;Sven;Tommy Muldoon, Vincent Lee

2025-12-27;Hypnos;Mittel;7;Frowin;George Barnaby
2025-12-27;Hypnos;Mittel;7;Volker;Joe Diamond
2025-12-27;Hypnos;Mittel;7;Daniel;Agatha Crane, Zoey Samaras

